category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Tietokirjallisuus->Historia,Historia,"Saksalainen aate maailmassa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Saksalainen aate maailmassa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Paul Rohrbach",,Kirja,,"1. p",1919,245,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833702,instock,simple,yes,Tietokirjallisuus->Historia,7,
"Tietokirjallisuus->Yhteiskunta ja politiikka","Yhteiskunta ja politiikka","Suomen rahalaitoksen uudistus","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Suomen rahalaitoksen uudistus.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Eli F. Heckscher",,WSOY,,"1. p",1923,88,"Nidottu kuvakannella",Suomi,"Kulunut käytetty",,,,10,,published,yes,1,,no,833703,instock,simple,yes,"Tietokirjallisuus->Yhteiskunta ja politiikka",7,
"Tietokirjallisuus->Yhteiskunta ja politiikka","Yhteiskunta ja politiikka","Alkoholistihuolto ilman lain tukea ja lain tukemana","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",Alkoholistihuolto.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"K.K. Aro",,WSOY,,"1. p",1929,16,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833704,instock,simple,yes,"Tietokirjallisuus->Yhteiskunta ja politiikka",7,
Harrastekirjallisuus->Elämänhallinta,Elämänhallinta,"Oivalluskyky herää I-II","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Oivalluskyky herää.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"J. Krishnamurti",,WSOY,,"1. p",1978,324-295,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833705,instock,simple,yes,Harrastekirjallisuus->Elämänhallinta,7,
Tietokirjallisuus->Kirjallisuustutkimus,Kirjallisuustutkimus,"Hella Wuolijoki näytelmäkirjailijana - Eripainos","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Hella Wuolijoki näytelmäkirjailijana.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Vihtori Laurila",,WSOY,,"1. p",1947,8,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,8,,published,yes,1,,no,833706,instock,simple,yes,Tietokirjallisuus->Kirjallisuustutkimus,7,
Tietokirjallisuus->Kirjallisuustutkimus,Kirjallisuustutkimus,"Nikolai Gogolin kahdet kasvot - Eripainos","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Nikolai Gogolin kahdet kasvot.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Kai Laitinen",,WSOY,,"1. p",1947,13,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,8,,published,yes,1,,no,833707,instock,simple,yes,Tietokirjallisuus->Kirjallisuustutkimus,7,
Tietokirjallisuus->Kirjallisuustutkimus,Kirjallisuustutkimus,"Taistelu taiteesta ja siveellisyydestä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Taistelu taiteesta ja siveellisyydestä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"K.S. Laurila",,WSOY,,"1. p",1938,181,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833708,instock,simple,yes,Tietokirjallisuus->Kirjallisuustutkimus,7,
Tietokirjallisuus->Tekniikka,Tekniikka,"Sähkölaitosten taloudellinen suunnittelu","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Sähkölaitosten taloudellinen suunnittelu.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Georg F. Janson",,WSOY,,"1. p",1931,171,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833709,instock,simple,yes,Tietokirjallisuus->Tekniikka,7,
Tietokirjallisuus->Filosofia,Filosofia,"Filosofian alkeet","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Filosofian alkeet.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Heikki Lehmusto",,WSOY,,"1. p",1932,141,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833710,instock,simple,yes,Tietokirjallisuus->Filosofia,7,
"Tietokirjallisuus->Lääketiede ja terveys","Lääketiede ja terveys","Mitä terveytesi vaatii","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Mitä terveytesi vaatii.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Alfred Grotjahn",,WSOY,,"1. p",1922,189,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833711,instock,simple,yes,"Tietokirjallisuus->Lääketiede ja terveys",7,
"Tietokirjallisuus->Lääketiede ja terveys","Lääketiede ja terveys","Sukupuolitaudeista ja niiden ehkäisemisestä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",Sukupuolitaudeista.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Paavo Pirilä",,WSOY,,"1. p",1927,93,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833712,instock,simple,yes,"Tietokirjallisuus->Lääketiede ja terveys",7,
"Tietokirjallisuus->Lääketiede ja terveys","Lääketiede ja terveys","Tarttuvista sukupuolitaudeista ja niiden ehkäisemisestä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","tarttuvista sukupuolitaudeista.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Paavo Pirilä",,WSOY,,"1. p",1922,68,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833713,instock,simple,yes,"Tietokirjallisuus->Lääketiede ja terveys",7,
"Tietokirjallisuus->Kasvatus ja lastenhoito","Kasvatus ja lastenhoito","Siivosta esiintymisestä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Siivosta esiintymisestä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"A. Meurman",,WSOY,,"1. p",1904,91,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833714,instock,simple,yes,"Tietokirjallisuus->Kasvatus ja lastenhoito",7,
